,Lokalizacja,Rok_x,Ilosc_x,Rok_y,Ilosc_y
0,Belgium,['2019'],102936.0,['2010'],66013.0
1,Bulgaria,['2019'],,['2012'],
2,Czechia,['2019'],77798.0,['2015'],25684.0
3,Denmark,['2019'],66520.0,['2010'],41456.0
4,Germany,['2019'],576319.0,['2012'],240001.0
5,Estonia,['2016'],13792.0,['2014'],4637.0
6,Ireland,['2011'],83049.0,['2018'],53735.0
7,Greece,['2012'],124694.0,['2010'],62041.0
8,Spain,['2013'],532303.0,['2019'],296248.0
9,France,['2015'],324517.0,['2017'],215470.0
10,Croatia,['2017'],47352.0,['2011'],12699.0
11,Italy,['2019'],179505.0,['2010'],78771.0
12,Cyprus,['2013'],25227.0,['2010'],4293.0
13,Latvia,['2010'],39651.0,['2019'],14583.0
14,Lithuania,['2010'],83157.0,['2019'],29273.0
15,Luxembourg,['2019'],15593.0,['2011'],9264.0
16,Hungary,['2019'],49795.0,['2010'],13365.0
17,Malta,['2018'],9342.0,['2011'],3806.0
18,Netherlands,['2014'],112900.0,['2010'],95970.0
19,Austria,['2019'],68280.0,['2011'],51197.0
20,Poland,['2013'],276446.0,['2019'],180594.0
21,Portugal,['2013'],53786.0,['2010'],23760.0
22,Romania,['2017'],242193.0,['2013'],161755.0
23,Slovenia,['2017'],17555.0,['2011'],12024.0
24,Slovakia,['2015'],3870.0,['2011'],1863.0
25,Finland,['2018'],19141.0,['2010'],11905.0
26,Sweden,['2015'],55830.0,['2017'],45620.0
27,Iceland,['2010'],5459.0,['2017'],3641.0
28,Liechtenstein,['2016'],522.0,['2017'],426.0
29,Norway,['2016'],34694.0,['2011'],20349.0
30,Switzerland,['2018'],130225.0,['2011'],96494.0
31,United Kingdom,['2019'],368385.0,['2015'],299183.0
32,North Macedonia,['2012'],,['2018'],
