,Rok,Ilosc
Belgium,['2019'],102936
Bulgaria,['2019'],
Czechia,['2019'],77798
Denmark,['2019'],66520
Germany,['2019'],576319
Estonia,['2016'],13792
Ireland,['2011'],83049
Greece,['2012'],124694
Spain,['2013'],532303
France,['2015'],324517
Croatia,['2017'],47352
Italy,['2019'],179505
Cyprus,['2013'],25227
Latvia,['2010'],39651
Lithuania,['2010'],83157
Luxembourg,['2019'],15593
Hungary,['2019'],49795
Malta,['2018'],9342
Netherlands,['2014'],112900
Austria,['2019'],68280
Poland,['2013'],276446
Portugal,['2013'],53786
Romania,['2017'],242193
Slovenia,['2017'],17555
Slovakia,['2015'],3870
Finland,['2018'],19141
Sweden,['2015'],55830
Iceland,['2010'],5459
Liechtenstein,['2016'],522
Norway,['2016'],34694
Switzerland,['2018'],130225
United Kingdom,['2019'],368385
North Macedonia,['2012'],
